List,Card Name,Description,Labels,Members,Due Date
Phase 0,C0.0a Trello board yaratish + cardlarni ko'chirish,"**Maqsad:** Rejadagi barcha vazifalarni Trello'ga ko'chirib, jamoa ish boshlaydigan taxta tayyorlash.

Trello'da bitta board ochiladi, unga 5 ta ustun (Backlog, Doing, Testing, Done + kerak bo'lsa Review) qo'yiladi. `trello-import.csv` import qilinib, har bir card o'z egasiga, labeliga va muddatiga biriktiriladi. Jamoa a'zolari (Dilshodbek, Bahodir) boardga taklif qilinadi.

**Ishlar:**
- Board + ustunlar + label'lar (Phase, Area, Priority, Hajm) yaratish
- 77 card import qilish, har biriga a'zo/label/deadline biriktirish
- Jamoani boardga qo'shish || TEST: TC1 5 list ko'rinadi; TC2 card soni = CSV soni (~70); TC3 tasodifiy 5 card'da member+label+due bor; TC4 jamoa a'zolari kira oladi.",Phase 0;DevOps;High;M,Dilshodbek,2026-07-21
Phase 0,C0.0b Sayt uchun dizayn topish/tanlash,"**Maqsad:** Saytning umumiy ko'rinishi (dizayn yo'nalishi) qanday bo'lishini oldindan belgilash — keyin frontend shu asosda quriladi.

Storefront (xaridor sayti) va sotuvchi kabineti uchun vizual uslub tanlanadi: rang palitrasi, shrift (tipografiya), tayyor UI kit yoki dizayn tizimi. Bir nechta asosiy ekran uchun mockup (chizma) tayyorlanadi va Lead tasdiqlaydi.

**Ishlar:**
- Referens saytlar to'plash, uslub tanlash
- Palitra (hex ranglar) + tipografiya hujjatlash
- UI kit/dizayn tizimi tanlash, 4+ ekran mockup, Lead approve || TEST: TC1 4+ ekran mockup; TC2 palitra(hex)+tipografiya hujjatlangan; TC3 UI kit havola bilan ulashilgan; TC4 L approve.",Phase 0;Frontend;High;M,Bahodir,2026-07-21
Phase 0,C0.1 Monorepo init + Docker infra,"**Maqsad:** Loyihaning bo'sh ""skeleti"" va lokal ishlash muhitini tayyorlash — hamma shu poydevor ustiga kod yozadi.

NestJS monorepo (bitta repo ichida ko'p servis) `nest-cli` bilan quriladi. `docker-compose` orqali lokal xizmatlar ko'tariladi: PostgreSQL (baza), RabbitMQ (servislararo xabar), MinIO (rasm saqlash), Adminer (bazani ko'rish). Sozlamalar `.env` orqali beriladi va Joi bilan tekshiriladi (kerakli sozlama yo'q bo'lsa dastur ishga tushmaydi).

**Ishlar:**
- Monorepo + apps/libs tuzilishi
- docker-compose (postgres/rabbitmq/minio/adminer)
- `.env.example` + Joi config validatsiya || TEST: TC1 docker up -> 4 konteyner healthy; TC2 start:dev xatosiz; TC3 env yetishmasa Joi xato; TC4 .env git'da yo'q.",Phase 0;DevOps;Blocker;M,Lead,2026-07-21
Phase 0,C0.2 libs/common port,"**Maqsad:** Barcha servislar birga ishlatadigan umumiy kod (""libs/common"") ni tayyorlash — bir marta yozib, hamma joyda qayta ishlatiladi.

Elchi loyihasidan sinovdan o'tgan pattern'lar ko'chiriladi: BaseEntity (id, sana, soft-delete), yagona javob shakli `{statusCode, message, data}`, xatolarni ushlash, idempotency (bir amal ikki marta bajarilib qolmasligi), outbox (event ishonchli yuborilishi), activity-log, JWT/rol guard'lari, pul (numeric) transformeri, enum'lar, SSRF va HMAC yordamchilar.

**Ishlar:**
- BaseEntity, response envelope, executeAndAck
- idempotency, outbox, activity-log
- guards (JWT/Roles/Self), numericTransformer, enums, SSRF+HMAC helper || TEST: TC1 javob {statusCode,message,data}; TC2 xato->filter to'g'ri kod; TC3 tokensiz 401/noto'g'ri rol 403; TC4 money drift yo'q; TC5 idempotency 2x->1 yozuv; TC6 outbox 1 marta yuboradi.",Phase 0;Backend-Core;Blocker;L,Lead,2026-07-24
Phase 0,C0.3 api-gateway skeleton,"**Maqsad:** Tashqi dunyoga qaraydigan yagona kirish nuqtasi (API Gateway) ni qurish — barcha so'rovlar shu yerdan o'tadi.

Gateway HTTP so'rovlarni qabul qilib, RabbitMQ orqali kerakli servisga uzatadi. Global tekshiruvlar (validatsiya, xato filtri, javob formati) shu yerda o'rnatiladi. JWT va rol tekshiruvi, Swagger (API hujjati) va `/health` (tiriklik) endpointi qo'shiladi.

**Ishlar:**
- HTTP→RabbitMQ ClientProxy
- Global pipe/interceptor/filter, JWT + RolesGuard
- Swagger hujjat, `/health` || TEST: TC1 /health 200; TC2 /api/docs ochiladi; TC3 tokensiz route 401; TC4 gateway->servis echo ishlaydi.",Phase 0;Backend-Core;High;S,Lead,2026-07-27
Phase 0,C0.4 identity-service,"**Maqsad:** Foydalanuvchilar (sotuvchi/xaridor/admin) va ularning tizimga kirishini (auth) yaratish.

identity-service `users` jadvalini boshqaradi. Ro'yxatdan o'tish va login qilish (parol bcrypt bilan shifrlanadi, JWT token beriladi) yoziladi. Rollar (SELLER/BUYER/ADMIN/SUPERADMIN) seed qilinadi. Gateway'da auth route'lari ulanadi.

**Ishlar:**
- `users` entity + migratsiya
- register/login (bcrypt + JWT), rol seed
- gateway auth route'lari || TEST: TC1 register->hash(plain emas); TC2 login->JWT(sub,role); TC3 noto'g'ri parol 401; TC4 dublikat phone 409; TC5 soxta token 401.",Phase 0;Backend-Core;Blocker;L,Lead,2026-07-30
Phase 0,C0.5 CI/CD + lint + dev docs,"**Maqsad:** Kod sifatini avtomat nazorat qilish va yangi dasturchi tez qo'shiladigan hujjat tayyorlash.

ESLint + Prettier (kod uslubi) + husky (commit oldidan tekshiruv) o'rnatiladi. GitHub Actions CI quriladi — har PR'da lint/build/test avtomat ishlaydi. CONTRIBUTING va README yoziladi (loyihani qanday ishga tushirish, qoidalar).

**Ishlar:**
- ESLint + Prettier + husky pre-commit
- GitHub Actions (lint/build/test)
- CONTRIBUTING + README || TEST: TC1 lint xato PR->CI qizil; TC2 toza PR->CI yashil; TC3 husky pre-commit bloklaydi.",Phase 0;DevOps;Normal;S,Lead,2026-07-31
Phase 0,C0.6 catalog-service entities,"**Maqsad:** Katalog ma'lumotlar bazasi jadvallarini yaratish (do'kon, kategoriya, mahsulot, variant).

catalog-service uchun 4 ta jadval va ularning migratsiyasi yoziladi: `shop` (do'kon), `category` (daraxt ko'rinishidagi kategoriyalar), `product` (mahsulot), `product_variant` (rang/o'lcham varianti). Do'kon slug'i va SKU takrorlanmasligi (unique) ta'minlanadi.

**Ishlar:**
- shop, category (self-ref daraxt), product, product_variant
- migratsiya + unique cheklovlar (slug, sku) || TEST: TC1 migratsiya->4 jadval catalog_schema; TC2 dublikat shop slug->violation; TC3 dublikat sku->violation; TC4 category parent_id daraxt.",Phase 0;Backend-Commerce;High;M,Dilshodbek,2026-07-23
Phase 0,C0.7 inventory-service entities,"**Maqsad:** Sklad (ombor/qoldiq) bazasi jadvallarini yaratish.

inventory-service uchun jadvallar: `warehouse` (ombor), `stock` (har variant×ombor uchun qoldiq, unique), `stock_movement` (har o'zgarish jurnali), `reservation` va `reservation_item` (buyurtma uchun band qilingan tovar). Migratsiya yoziladi.

**Ishlar:**
- warehouse, stock (uniq variant+warehouse), stock_movement, reservation(+item)
- migratsiya + unique cheklovlar || TEST: TC1 migratsiya inventory_schema; TC2 dublikat (variant,warehouse)->violation; TC3 reservation order_ref unique.",Phase 0;Backend-Commerce;Blocker;S,Dilshodbek,2026-07-24
Phase 0,C0.8 Inventory reserve/commit/release/inbound/adjust,"**Maqsad:** Skladning eng muhim mantig'i — tovarni band qilish/berish, hech qachon ""yo'q tovarni sotib qo'ymaslik"".

Bitta tranzaksiya ichida `SELECT ... FOR UPDATE` bilan qoldiq qulflanadi va invariant saqlanadi: `bor − band ≥ 0` (ya'ni hech qachon manfiy bo'lmaydi). Amallar: **reserve** (band qilish), **commit** (sotildi, kamaytirish), **release** (bekor, qaytarish), **inbound** (kirim), **adjust** (tuzatish). Har amal jurnalga yoziladi, idempotency bilan takror bajarilmaydi.

**Ishlar:**
- reserve/commit/release/inbound/adjust (tranzaksiya + FOR UPDATE)
- invariant on_hand−reserved≥0, movement jurnal, idempotency || TEST: TC1 reserve5(oh10)->reserved5; TC2 reserve20->THROW,holat o'zgarmaydi; TC3 commit->oh5,res0; TC4 release->tiklanadi; TC5 inbound; TC6 invariant hech manfiy emas; TC7 idempotency 2x->1; TC8 adjust actor bilan.",Phase 0;Backend-Commerce;Blocker;L,Dilshodbek,2026-07-29
